year,level_1,level_2,level_3,value
2015,Sikhism,Total,"Landed Properties",0.8
2015,Sikhism,Males,"Total",5.2
2015,Sikhism,Males,"HDB Dwellings",4.1
2015,Sikhism,Males,"Condominiums and Other Apartments",0.7
2015,Sikhism,Males,"Landed Properties",0.3
2015,Sikhism,Females,"Total",6.3
2015,Sikhism,Females,"HDB Dwellings",5
2015,Sikhism,Females,"Condominiums and Other Apartments",0.8
2015,Sikhism,Females,"Landed Properties",0.5
2015,Christianity- Catholic,Total,"Total",220.9
2015,Christianity- Catholic,Total,"HDB Dwellings",149.5
2015,Christianity- Catholic,Total,"Condominiums and Other Apartments",42.1
2015,Christianity- Catholic,Total,"Landed Properties",28.9
2015,Christianity- Catholic,Total,"Others",0.5
2015,Christianity- Catholic,Males,"Total",98.1
2015,Christianity- Catholic,Males,"HDB Dwellings",66.2
2015,Christianity- Catholic,Males,"Condominiums and Other Apartments",18.5
2015,Christianity- Catholic,Males,"Landed Properties",13.3
2015,Christianity- Catholic,Males,"Others",0.2
2015,Christianity- Catholic,Females,"Total",122.8
2015,Christianity- Catholic,Females,"HDB Dwellings",83.3
2015,Christianity- Catholic,Females,"Condominiums and Other Apartments",23.5
2015,Christianity- Catholic,Females,"Landed Properties",15.6
2015,Christianity- Catholic,Females,"Others",0.3
2015,Christianity- Other Christians,Total,"Total",395.2
2015,Christianity- Other Christians,Total,"HDB Dwellings",266.7
2015,Christianity- Other Christians,Total,"Condominiums and Other Apartments",80.4
2015,Christianity- Other Christians,Total,"Landed Properties",47.4
2015,Christianity- Other Christians,Total,"Others",0.8
2015,Christianity- Other Christians,Males,"Total",174.7
2015,Christianity- Other Christians,Males,"HDB Dwellings",114.6
2015,Christianity- Other Christians,Males,"Condominiums and Other Apartments",36.8
2015,Christianity- Other Christians,Males,"Landed Properties",22.9
2015,Christianity- Other Christians,Males,"Others",0.4
2015,Christianity- Other Christians,Females,"Total",220.5
2015,Christianity- Other Christians,Females,"HDB Dwellings",152.1
2015,Christianity- Other Christians,Females,"Condominiums and Other Apartments",43.6
2015,Christianity- Other Christians,Females,"Landed Properties",24.5
2015,Christianity- Other Christians,Females,"Others",0.4
2015,Other Religions,Total,"Total",7.9
2015,Other Religions,Total,"HDB Dwellings",6.2
2015,Other Religions,Total,"Condominiums and Other Apartments",1.5
2015,Other Religions,Total,"Landed Properties",0.2
2015,Other Religions,Males,"Total",4
2015,Other Religions,Males,"HDB Dwellings",2.9
2015,Other Religions,Males,"Condominiums and Other Apartments",1
2015,Other Religions,Males,"Landed Properties",0.2
2015,Other Religions,Females,"Total",3.9
2015,Other Religions,Females,"HDB Dwellings",3.3
2015,Other Religions,Females,"Condominiums and Other Apartments",0.5
2015,Other Religions,Females,"Landed Properties",0.1
