year,level_1,level_2,level_3,value
2015,Taoism,Total,Choa Chu Kang,16.6
2015,Taoism,Total,Clementi,5.3
2015,Taoism,Total,Geylang,8.9
2015,Taoism,Total,Hougang,19.8
2015,Taoism,Total,Jurong East,11.5
2015,Taoism,Total,Jurong West,26.2
2015,Taoism,Total,Kallang,8.1
2015,Taoism,Total,Marine Parade,1.7
2015,Taoism,Total,Novena,2.4
2015,Taoism,Total,Outram,1.7
2015,Taoism,Total,Pasir Ris,7.3
2015,Taoism,Total,Punggol,7.8
2015,Taoism,Total,Queenstown,6.8
2015,Taoism,Total,Sembawang,5.7
2015,Taoism,Total,Sengkang,16.8
2015,Taoism,Total,Serangoon,12.1
2015,Taoism,Total,Tampines,19.7
2015,Taoism,Total,Tanglin,0.5
2015,Taoism,Total,Toa Payoh,10.5
2015,Taoism,Total,Woodlands,19
2015,Taoism,Total,Yishun,19.8
2015,Taoism,Total,Others,1.4
2015,Islam,Total,Ang Mo Kio,13.9
2015,Islam,Total,Bedok,42.7
2015,Islam,Total,Bishan,2.8
2015,Islam,Total,Bukit Batok,15.2
2015,Islam,Total,Bukit Merah,11.3
2015,Islam,Total,Bukit Panjang,19.5
2015,Islam,Total,Bukit Timah,0.7
2015,Islam,Total,Choa Chu Kang,26.1
2015,Islam,Total,Clementi,8.2
2015,Islam,Total,Geylang,14.4
2015,Islam,Total,Hougang,16
2015,Islam,Total,Jurong East,13.8
2015,Islam,Total,Jurong West,40.8
2015,Islam,Total,Kallang,7.6
2015,Islam,Total,Marine Parade,3.2
2015,Islam,Total,Novena,2.6
2015,Islam,Total,Outram,1.9
2015,Islam,Total,Pasir Ris,25.9
2015,Islam,Total,Punggol,8.5
2015,Islam,Total,Queenstown,8.2
2015,Islam,Total,Sembawang,8.8
2015,Islam,Total,Sengkang,19.2
2015,Islam,Total,Serangoon,7.4
2015,Islam,Total,Tampines,54.5
2015,Islam,Total,Tanglin,0.3
2015,Islam,Total,Toa Payoh,8.2
2015,Islam,Total,Woodlands,46.1
2015,Islam,Total,Yishun,30.9
2015,Islam,Total,Others,0.8
2015,Hinduism,Total,Ang Mo Kio,6
2015,Hinduism,Total,Bedok,9.7
2015,Hinduism,Total,Bishan,4.3
2015,Hinduism,Total,Bukit Batok,6.7
2015,Hinduism,Total,Bukit Merah,5.1
2015,Hinduism,Total,Bukit Panjang,3.7
2015,Hinduism,Total,Bukit Timah,1.6
2015,Hinduism,Total,Choa Chu Kang,8.6
2015,Hinduism,Total,Clementi,2.1
2015,Hinduism,Total,Geylang,3.3
2015,Hinduism,Total,Hougang,6.9
2015,Hinduism,Total,Jurong East,4.7
2015,Hinduism,Total,Jurong West,15.3
2015,Hinduism,Total,Kallang,5.5
2015,Hinduism,Total,Marine Parade,1.7
2015,Hinduism,Total,Novena,1.3
2015,Hinduism,Total,Outram,0.6
2015,Hinduism,Total,Pasir Ris,4.8
2015,Hinduism,Total,Punggol,4.1
2015,Hinduism,Total,Queenstown,3.8
2015,Hinduism,Total,Sembawang,2.5
2015,Hinduism,Total,Sengkang,9.9
2015,Hinduism,Total,Serangoon,6
2015,Hinduism,Total,Tampines,8.6
2015,Hinduism,Total,Tanglin,1.5
2015,Hinduism,Total,Toa Payoh,5.4
2015,Hinduism,Total,Woodlands,12.8
2015,Hinduism,Total,Yishun,12.4
2015,Hinduism,Total,Others,3.3
2015,Sikhism,Total,Ang Mo Kio,0.2
2015,Sikhism,Total,Bedok,1.1
2015,Sikhism,Total,Bishan,0.1
2015,Sikhism,Total,Bukit Batok,0.2
2015,Sikhism,Total,Bukit Merah,0.9
2015,Sikhism,Total,Bukit Panjang,0.2
2015,Sikhism,Total,Bukit Timah,0
2015,Sikhism,Total,Choa Chu Kang,0
2015,Sikhism,Total,Clementi,0.1
2015,Sikhism,Total,Geylang,0.5
2015,Sikhism,Total,Hougang,0.1
2015,Sikhism,Total,Jurong East,0.5
2015,Sikhism,Total,Jurong West,0.7
2015,Sikhism,Total,Kallang,1.1
2015,Sikhism,Total,Marine Parade,0.5
2015,Sikhism,Total,Novena,0.2
2015,Sikhism,Total,Outram,0.2
2015,Sikhism,Total,Pasir Ris,0.3
2015,Sikhism,Total,Punggol,0.6
2015,Sikhism,Total,Queenstown,0.1
2015,Sikhism,Total,Sembawang,0.4
2015,Sikhism,Total,Sengkang,0.2
2015,Sikhism,Total,Serangoon,0.4
2015,Sikhism,Total,Tampines,1.3
2015,Sikhism,Total,Tanglin,0
2015,Sikhism,Total,Toa Payoh,0.1
2015,Sikhism,Total,Woodlands,0.7
2015,Sikhism,Total,Yishun,0.1
2015,Sikhism,Total,Others,0.6
2015,Christianity- Catholic,Total,Ang Mo Kio,11.7
2015,Christianity- Catholic,Total,Bedok,20
2015,Christianity- Catholic,Total,Bishan,9.5
2015,Christianity- Catholic,Total,Bukit Batok,7.8
2015,Christianity- Catholic,Total,Bukit Merah,8.3
2015,Christianity- Catholic,Total,Bukit Panjang,4.6
2015,Christianity- Catholic,Total,Bukit Timah,8.2
2015,Christianity- Catholic,Total,Choa Chu Kang,8.9
2015,Christianity- Catholic,Total,Clementi,4.1
2015,Christianity- Catholic,Total,Geylang,4
2015,Christianity- Catholic,Total,Hougang,16.7
2015,Christianity- Catholic,Total,Jurong East,3.8
2015,Christianity- Catholic,Total,Jurong West,7.4
2015,Christianity- Catholic,Total,Kallang,5.5
2015,Christianity- Catholic,Total,Marine Parade,4.7
2015,Christianity- Catholic,Total,Novena,3.7
2015,Christianity- Catholic,Total,Outram,0.8
2015,Christianity- Catholic,Total,Pasir Ris,8.7
2015,Christianity- Catholic,Total,Punggol,5.5
2015,Christianity- Catholic,Total,Queenstown,6.3
2015,Christianity- Catholic,Total,Sembawang,3.2
2015,Christianity- Catholic,Total,Sengkang,11.6
2015,Christianity- Catholic,Total,Serangoon,11.4
2015,Christianity- Catholic,Total,Tampines,13.6
2015,Christianity- Catholic,Total,Tanglin,2.3
2015,Christianity- Catholic,Total,Toa Payoh,9.9
2015,Christianity- Catholic,Total,Woodlands,7
2015,Christianity- Catholic,Total,Yishun,8.1
2015,Christianity- Catholic,Total,Others,3.6
2015,Christianity- Other Christians,Total,Ang Mo Kio,19.3
2015,Christianity- Other Christians,Total,Bedok,31.9
2015,Christianity- Other Christians,Total,Bishan,13.6
2015,Christianity- Other Christians,Total,Bukit Batok,16.2
2015,Christianity- Other Christians,Total,Bukit Merah,16.3
2015,Christianity- Other Christians,Total,Bukit Panjang,12.7
2015,Christianity- Other Christians,Total,Bukit Timah,19.8
2015,Christianity- Other Christians,Total,Choa Chu Kang,13.1
2015,Christianity- Other Christians,Total,Clementi,12.9
2015,Christianity- Other Christians,Total,Geylang,10.8
2015,Christianity- Other Christians,Total,Hougang,18.5
2015,Christianity- Other Christians,Total,Jurong East,5.7
2015,Christianity- Other Christians,Total,Jurong West,15.9
2015,Christianity- Other Christians,Total,Kallang,9.7
2015,Christianity- Other Christians,Total,Marine Parade,6.5
2015,Christianity- Other Christians,Total,Novena,6.7
2015,Christianity- Other Christians,Total,Outram,2.1
2015,Christianity- Other Christians,Total,Pasir Ris,17.7
2015,Christianity- Other Christians,Total,Punggol,9.6
2015,Christianity- Other Christians,Total,Queenstown,14.1
2015,Christianity- Other Christians,Total,Sembawang,9.1
2015,Christianity- Other Christians,Total,Sengkang,14.6
2015,Christianity- Other Christians,Total,Serangoon,18.6
2015,Christianity- Other Christians,Total,Tampines,25.7
2015,Christianity- Other Christians,Total,Tanglin,3.7
2015,Christianity- Other Christians,Total,Toa Payoh,14.7
2015,Christianity- Other Christians,Total,Woodlands,18.5
2015,Christianity- Other Christians,Total,Yishun,12.8
2015,Christianity- Other Christians,Total,Others,4.3
2015,Other Religions,Total,Ang Mo Kio,0.3
2015,Other Religions,Total,Bedok,0.9
2015,Other Religions,Total,Bishan,0
2015,Other Religions,Total,Bukit Batok,0.3
2015,Other Religions,Total,Bukit Merah,0.5
2015,Other Religions,Total,Bukit Panjang,0.1
2015,Other Religions,Total,Bukit Timah,0.1
2015,Other Religions,Total,Choa Chu Kang,0.2
2015,Other Religions,Total,Clementi,0.2
2015,Other Religions,Total,Geylang,0.1
2015,Other Religions,Total,Hougang,0.1
2015,Other Religions,Total,Jurong East,0
2015,Other Religions,Total,Jurong West,0.5
2015,Other Religions,Total,Kallang,0.4
2015,Other Religions,Total,Marine Parade,0.2
2015,Other Religions,Total,Novena,0
2015,Other Religions,Total,Outram,0
2015,Other Religions,Total,Pasir Ris,0.3
2015,Other Religions,Total,Punggol,0.4
2015,Other Religions,Total,Queenstown,0.3
2015,Other Religions,Total,Sembawang,0.2
2015,Other Religions,Total,Sengkang,0.4
2015,Other Religions,Total,Serangoon,0.4
2015,Other Religions,Total,Tampines,0.3
2015,Other Religions,Total,Tanglin,0.1
2015,Other Religions,Total,Toa Payoh,0.2
2015,Other Religions,Total,Woodlands,0.3
2015,Other Religions,Total,Yishun,0.5
2015,Other Religions,Total,Others,0.4
